program,metric,const,age,canton_moth_tongue,city_big,city_medium,cw_age,cw_cooperative,cw_educ_above_voc,cw_educ_tertiary,cw_female,cw_missing,cw_own_ue,cw_tenure,cw_voc_degree,emp_share_last_2yrs,emp_spells_5yrs,employability,female,foreigner_b,foreigner_c,gdp_pc,married,other_mother_tongue,past_income,prev_job_manager,prev_job_sec1,prev_job_sec2,prev_job_sec3,prev_job_self,prev_job_skilled,prev_job_unskilled,qual_semiskilled,qual_degree,qual_wo_degree,ue_cw_allocation1,ue_cw_allocation2,ue_cw_allocation3,ue_cw_allocation4,ue_cw_allocation5,ue_cw_allocation6,ue_spells_last_2yrs,unemp_rate
job search,OLS,-0.16994971019443153,0.003960153148613059,0.011868336998473368,0.01745090765188651,0.02880761458012371,0.0018871693183027474,0.0062096702324108055,0.01265226334510082,0.008487024765723637,-0.010809999826798783,0.058049315182521946,-0.0007851176415271525,-0.001218484247732741,0.009149878020350216,-0.7374321157673261,0.053952610343985775,-0.03433109155500405,0.028656612708890267,0.01822003862089425,0.007268563146899556,-0.07245295231078638,-0.009990574917636698,0.020986368280391365,-0.08448812542340617,0.049540144063858677,-0.1689158775270815,-0.012548550494008421,-0.32585402879735154,0.43775560327648777,-0.11049675347593284,0.10466943672293856,0.0046088186563117105,-0.01704822949593855,-0.004567516026227325,0.009156509042132647,0.015684204174496338,-0.02803989323419019,-0.03804227675813967,-0.5779526515290061,-0.05183354937356086,0.035090585794693624,0.05117145876558271
job search,perm,0.0,0.022434675431530215,0.0005160821907204127,0.00018431071707958324,0.0007529966056205595,0.01771972402397437,0.0007218252439780137,0.001034356817362303,0.0001709491452344114,0.000762644104038257,1.598579442341208e-05,0.0012648098989040957,0.004940127671261285,0.0005499532238130156,0.4197262234329615,0.01007004415377577,0.0029028688796931545,0.0007417794911129816,0.0010786707789888217,0.00033024013452609413,0.005122797590314421,0.000917760066577844,0.0008416286325181321,0.32165310408017733,0.001290082983883889,0.008638901940927424,7.166902063493463e-05,0.19545120535639582,0.005580878911762288,0.027307390207706117,0.01467239012740329,0.00031026835711500667,0.0033919242278102057,4.305152027406223e-05,0.0002957202695357264,0.0004486615136233274,0.0004184366353323643,0.000852707491681981,0.2897126690357852,0.0017000919928866765,0.0099611354516429,0.027595464675677417
job search,shap,0.0,0.03259057179093361,0.002478915499523282,0.0008710380643606186,0.004349932074546814,0.0236293226480484,0.0035776328295469284,0.0050909132696688175,0.0005651524988934398,0.006099148187786341,7.220650877570733e-05,0.004237343091517687,0.010405716486275196,0.0030037511605769396,0.21439844369888306,0.024412862956523895,0.008633991703391075,0.006285279057919979,0.006021134555339813,0.0014356252504512668,0.009386381134390831,0.0036632586270570755,0.006679017096757889,0.14500047266483307,0.0049438318237662315,0.01597360335290432,0.00023981525737326592,0.14291435480117798,0.003918946720659733,0.050864603370428085,0.038297124207019806,0.002108429791405797,0.012243003584444523,0.0001941514783538878,0.002989567583426833,0.004106043837964535,0.0014405637048184872,0.004316665697842836,0.12003646045923233,0.0064284102991223335,0.022891618311405182,0.03858654573559761
vocational,OLS,4.520972976694043,0.004292216173573986,0.0076541598941769805,-0.09366417278389302,0.01818408233113449,0.0045534964318128986,0.001414771190329382,0.011701089422475042,-0.015260916061519912,-0.1102007349673917,0.05394292110228237,-0.01015935255062303,-0.004621710552990491,-0.030884817971388877,0.003009283940435535,0.007895471124600446,-0.41034919057734026,-0.020776297702940566,0.0290553646760481,0.010639658959319022,-1.9878605298181116,0.05104999130266992,0.0251175263639832,-0.0739591720621491,-0.05318468042460435,0.017713396406188478,0.07639986297057688,-0.02277029606900087,-0.05440374200949489,-0.011758735043265928,-0.0003735991123949983,0.1022715104199552,-0.04315420277004063,-0.026347749075739682,0.036772520096004284,0.09471737827609793,0.011962968399435255,0.02205531675364051,-0.022084337879135555,0.027266248529213884,-0.039510658058712726,0.01663846210554896
vocational,perm,0.0,0.025595477868220362,4.611156286582485e-05,0.0035164416881569016,0.0005476617645062687,0.05237269096482544,0.0023000529781422863,0.00041787511712199077,0.0002452003810877734,0.04232675725865309,0.000242617264825995,0.0006959991256049181,0.007172421467022905,0.00014709387032363352,0.005005430342293837,0.00043032034446466305,0.4716918998058721,0.0033758880810758063,0.001763229479285755,0.0004946473164518794,0.38793888785031394,0.007974926340086008,0.00398768011381212,0.32242278729571616,0.0012519525696493838,0.0013605310510116375,0.0082701587911298,0.0028873703595978517,0.0,0.0013838558064422912,0.0007569932760107534,0.01712604656096528,0.006022768091478503,0.00019665755695708054,0.00021287006062953306,0.008066556810734982,5.0938299486991134e-05,0.0014374509988109851,0.0013061698863519045,4.586512303894619e-05,0.03225734974689998,0.016393209687197152
vocational,shap,0.0,0.033244889229536057,0.0004725609323941171,0.012879462912678719,0.003664772491902113,0.052392296493053436,0.00888482853770256,0.0024326820857822895,0.0020895085763186216,0.05850837007164955,0.0010870255064219236,0.005499368533492088,0.01602642796933651,0.0015946758212521672,0.011710663326084614,0.002992561087012291,0.15335845947265625,0.013621809892356396,0.004958690144121647,0.003030897118151188,0.1259804219007492,0.023788070306181908,0.01442594826221466,0.14162355661392212,0.004762253258377314,0.004609121475368738,0.015792900696396828,0.013494947925209999,0.0,0.007034410256892443,0.003913070075213909,0.026813644915819168,0.02095629833638668,0.0013669839827343822,0.0010817403672263026,0.022435782477259636,0.0001822432386688888,0.005068883299827576,0.0063698431476950645,0.00032165570883080363,0.03386572375893593,0.028418133035302162
computer,OLS,3.4301538674274448,0.010809717855788784,0.006300111816620154,-0.015194085384469808,-0.04426317769737608,-0.0008475320270955013,0.05032989065487542,0.04223342756378667,0.0035252376466432113,0.05533921088186337,0.0032181080695916223,0.008261446060850814,-0.014903706609943381,0.01140628904214766,-0.2920922781749941,0.013194362005217999,-0.33629553607173374,1.3321554453154019,0.01826973336445528,-0.03254835213439905,-0.4226673015511124,-0.06892475656026892,-0.7271111443375881,-0.07814651300211527,0.07329136643459899,-0.04621295206669537,0.02019677191133923,0.0325351960158353,0.060959731972771186,0.12310245701970632,0.014833837214158574,0.02058289532359608,-0.008385598533245808,0.006755148561442435,0.024923494557779598,0.10129132023572568,0.027857315667411356,-0.004511749922228927,0.008977677541864095,-0.012534322145200484,-0.001956330642741951,0.09325271450359938
computer,perm,0.0,0.02966822319641249,0.0001074230447212221,0.00029797776333362336,0.00022395370208327936,0.004569276838245706,0.0010301710690413524,0.000990507604351043,1.5376354123408653e-05,0.0012939829820913795,3.211964243488019e-05,8.588847927659682e-05,0.0053010056140084805,7.276770324926574e-05,0.01731199850964915,0.00022867859943853652,0.05859259754746493,1.1352524715954657,3.5442748095304566e-06,0.00027827629881826965,0.033508396949494146,0.0028031726157482506,0.2911198091230722,0.13118274260181584,0.000128270262897634,7.520903165736392e-05,0.00029174489589012254,0.0005405697869518278,4.568087573542101e-06,0.007432648313116297,5.954653417794553e-06,0.0002139045284765828,0.0002581726649888427,1.7914593962164993e-05,0.00019550494888387338,0.0032875871068516194,4.4589091989455376e-05,1.849772849360498e-05,2.0104611746729617e-05,0.00045548455138766375,0.0002420894757213521,0.005953506299413047
computer,shap,0.0,0.08169742673635483,0.0019980650395154953,0.005347773898392916,0.0025341601576656103,0.021121801808476448,0.015151862986385822,0.014068245887756348,0.0006020208238624036,0.01830996945500374,0.0007929295534268022,0.002266380935907364,0.037126101553440094,0.0017704613273963332,0.06906107813119888,0.0037811866495758295,0.08339191228151321,0.6587347984313965,0.0001376850705128163,0.007183142006397247,0.07183574885129929,0.026796620339155197,0.3037671446800232,0.14768922328948975,0.002870984375476837,0.002595661673694849,0.003684870433062315,0.008375727571547031,9.34293057071045e-05,0.048120804131031036,0.0002831768651958555,0.004182904493063688,0.004831666126847267,0.0003609286213759333,0.005106969736516476,0.03020339272916317,0.0010779204312711954,0.000473303982289508,0.0006275462219491601,0.005634671542793512,0.005801483057439327,0.03542761504650116
language,OLS,3.52210244729948,-0.019529801140818003,0.5141922408998427,-0.353837341577424,0.2647879978319161,0.0021560929532909376,0.008761893175016713,0.015265156560319756,-0.2696205237548671,-0.3036960779666791,-1.2238639324768958,-0.0010208289876284546,-0.0005590153689078264,-0.028629179858123147,-0.4782252814303053,-0.01494411561334307,-0.005116126485116236,-0.6661446105904268,-0.647451134018505,-0.5693067464135673,0.3529639109264303,0.011726831851235188,-0.9424459358597737,0.03876239323284358,0.06489092161251442,-0.44517728115956823,-0.013436495436342856,0.016441417597386158,-0.0009976665178585314,0.13977998865383115,-0.3941840330550136,-0.031607288462651484,0.04248436127017637,-0.048121920346069796,-0.024015322164259275,0.022673629703126308,0.014957683815860264,-0.0010258043123162694,-0.24214639851167707,-0.008561195973335725,-0.001182933976472513,-0.0180773275662961
language,perm,0.0,0.058987410745245716,0.05227523415890267,0.034090656808030695,0.014992457830174444,0.004635006164677158,0.0002889526180965829,0.00033291485201780713,0.023152082877445523,0.045962196014775136,0.1271600524538259,6.825016331657441e-05,0.0010047485644953946,0.0002333964052825266,0.029239045266721275,3.6781502780525166e-05,0.00029915987246253994,0.2150068313329162,0.11891799563178307,0.08344965906868795,0.002502102000969786,2.9469071951893078e-05,0.4138988264498098,0.02032803616886092,0.0001736924241719784,0.026998772268351567,2.5485860354224066e-05,0.0006545381751071888,8.746708214635301e-05,0.0020181187796124433,0.11138968561731166,2.00867741355637e-05,0.002108873367803299,0.00014204799516159827,0.00031161866745399447,0.00024374618493139266,1.4444023968884778e-05,3.938328821229131e-05,0.011817939589431448,4.354754110647008e-06,0.00012326420203334632,0.0018785217872998583
language,shap,0.0,0.139631986618042,0.09184293448925018,0.0991220623254776,0.05493929237127304,0.030738400295376778,0.00604539318010211,0.008494400419294834,0.08261112868785858,0.14532321691513062,0.10436994582414627,0.001395929022692144,0.00964945089071989,0.007445767521858215,0.06359290331602097,0.0009536527213640511,0.0038801648188382387,0.3207883834838867,0.1384197622537613,0.14885801076889038,0.01233893632888794,0.00104736618231982,0.4575333595275879,0.06557194888591766,0.003359396243467927,0.06048056110739708,0.0005138157866895199,0.01375112496316433,0.0007645050645805895,0.025181345641613007,0.19842734932899475,0.0007374935084953904,0.026303233578801155,0.001683132373727858,0.008889366872608662,0.007360624149441719,0.0006001255242154002,0.0009899535216391087,0.04895370453596115,0.00017846304399427027,0.002755061024799943,0.017397107556462288
